"거주지역별(1)","성별(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"거주지역별(1)","성별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자
"대전광역시","총계",359070,9047,63974,100457,95804,51609,28486,5993,3700,366120,7962,60891,102219,99050,54267,30873,6940,3918,380020,7841,60169,106227,102718,58302,32776,7832,4155,391520,8237,59323,107544,104738,63858,34584,9227,4009,395168,7469,56647,107383,105318,68089,35675,10576,4011,394868,7142,52047,105453,104986,71603,37610,11834,4193,402344,7282,51337,103574,107625,75127,39704,13484,4211,404201,6983,47835,100630,108958,78809,41447,15119,4420,410730,7698,45973,99515,109112,83907,43716,16465,4344
"대전광역시","남자",206642,5059,36310,56695,55415,30602,16353,3256,2952,208817,4491,34409,56958,56571,31891,17639,3731,3127,215380,4456,34222,58811,58002,33889,18606,4084,3310,219531,4695,33874,59034,57898,36531,19491,4839,3169,219542,4273,32669,58371,57305,38354,19909,5483,3178,217981,4096,30216,57063,56349,40030,20800,6132,3295,219888,4100,29993,55868,56759,41270,21652,6971,3275,219331,3883,28041,54428,57002,42453,22388,7745,3391,220324,4250,26758,53625,56710,44182,23235,8269,3295
"대전광역시","여자",152428,3988,27664,43762,40389,21007,12133,2737,748,157303,3471,26482,45261,42479,22376,13234,3209,791,164640,3385,25947,47416,44716,24413,14170,3748,845,171989,3542,25449,48510,46840,27327,15093,4388,840,175626,3196,23978,49012,48013,29735,15766,5093,833,176887,3046,21831,48390,48637,31573,16810,5702,898,182456,3182,21344,47706,50866,33857,18052,6513,936,184870,3100,19794,46202,51956,36356,19059,7374,1029,190406,3448,19215,45890,52402,39725,20481,8196,1049
"울산광역시","총계",291434,7736,55821,87673,81521,37214,15534,2733,3202,301663,6941,55216,88415,86721,40383,17378,3232,3377,311549,6600,55767,90026,90448,43346,18221,3520,3621,325450,7345,57793,90150,94702,48320,19545,4040,3555,331064,6763,57133,88427,97254,52624,20530,4672,3661,338232,6620,55865,88118,99521,56785,22455,5251,3617,343884,6484,54574,86770,102061,60336,24095,5755,3809,351519,5838,51607,86443,104087,65819,26645,6916,4164,358845,6266,49085,87153,104114,71695,28610,7854,4068
"울산광역시","남자",180908,4667,34552,53296,51670,23654,9117,1400,2552,185327,4238,34549,52554,54093,25398,10170,1637,2688,189958,4145,35277,52763,55428,27133,10553,1783,2876,196542,4668,37163,52026,56912,29690,11223,2039,2821,198577,4277,37033,50614,57768,31891,11762,2332,2900,202151,4200,36496,50689,58482,33937,12875,2632,2840,204605,4095,35866,50233,59217,35544,13849,2834,2967,208416,3582,34040,50513,59803,38438,15361,3472,3207,211198,3819,32367,51387,59064,41197,16365,3920,3079
"울산광역시","여자",110526,3069,21269,34377,29851,13560,6417,1333,650,116336,2703,20667,35861,32628,14985,7208,1595,689,121591,2455,20490,37263,35020,16213,7668,1737,745,128908,2677,20630,38124,37790,18630,8322,2001,734,132487,2486,20100,37813,39486,20733,8768,2340,761,136081,2420,19369,37429,41039,22848,9580,2619,777,139279,2389,18708,36537,42844,24792,10246,2921,842,143103,2256,17567,35930,44284,27381,11284,3444,957,147647,2447,16718,35766,45050,30498,12245,3934,989
"세종특별자치시","총계",27165,515,4437,6026,6331,4451,3434,921,1050,29421,522,4489,6840,6861,4757,3679,1100,1173,33459,718,5462,8656,7531,5014,3711,1081,1286,49659,1088,10896,14642,10360,6340,3869,1197,1267,58322,1180,12708,17907,12040,7664,4119,1402,1302,69759,1358,15073,22006,14480,9177,4656,1645,1364,81225,1650,17609,25735,17179,10749,5072,1890,1341,87537,1566,17343,28177,19373,12027,5509,2127,1415,93116,1671,16913,30303,21043,13402,5987,2292,1505
"세종특별자치시","남자",17277,332,2738,3841,3953,2756,2176,567,914,18605,332,2704,4335,4275,2944,2316,672,1027,20745,455,3244,5393,4556,3062,2278,630,1127,29836,645,6363,8919,6014,3760,2356,679,1100,34585,677,7529,10751,6832,4403,2439,810,1144,40737,751,8753,13042,8099,5205,2742,947,1198,46831,879,10190,15056,9488,6026,2915,1115,1162,50056,806,10010,16366,10648,6635,3148,1223,1220,52776,859,9561,17468,11623,7299,3387,1300,1279
"세종특별자치시","여자",9888,183,1699,2185,2378,1695,1258,354,136,10816,190,1785,2505,2586,1813,1363,428,146,12714,263,2218,3263,2975,1952,1433,451,159,19823,443,4533,5723,4346,2580,1513,518,167,23737,503,5179,7156,5208,3261,1680,592,158,29022,607,6320,8964,6381,3972,1914,698,166,34394,771,7419,10679,7691,4723,2157,775,179,37481,760,7333,11811,8725,5392,2361,904,195,40340,812,7352,12835,9420,6103,2600,992,226
"경기도","총계",2723040,65753,503531,813424,690802,366191,211918,44647,26774,2816567,59297,486727,834748,737938,387244,230108,52281,28224,2880735,56222,474081,851111,764786,406636,239880,58051,29968,2991332,63488,476065,864535,795506,443792,251371,66941,29634,3069755,59230,468382,871115,823191,476876,262385,77242,31334,3169606,60698,465594,884609,850350,508833,280421,86868,32233,3307703,63450,477730,897411,891234,549564,296854,98123,33337,3454042,63548,480297,917841,934583,599783,313485,110996,33509,3587339,69823,469018,934595,964462,662507,329929,123602,33403
