"행정구역(시군구)별",2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"세종특별자치시",380889,190038,190851,381439,190276,191163,381925,190541,191384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113117,57633,55484,122153,62205,59948,156125,78862,77263,210884,105752,105132,243048,121505,121543,280100,139734,140366,314126,156831,157295,340575,169845,170730,355831,177568,178263,371895,185678,186217
"경기도",13589362,6840138,6749224,13590056,6840757,6749299,13574353,6832856,6741497,10462920,5277320,5185600,10697215,5395500,5301715,10906033,5499796,5406237,11106211,5598206,5508005,11292264,5690673,5601591,11460610,5773569,5687041,11786622,5942454,5844168,11937415,6015357,5922058,12093299,6091035,6002264,12234630,6159193,6075437,12357830,6219813,6138017,12522606,6299812,6222794,12716780,6395453,6321327,12873895,6475323,6398572,13077153,6577501,6499652,13239666,6659995,6579671,13427014,6754469,6672545,13565450,6827298,6738152
"강원도",1539178,774387,764791,1538801,774193,764608,1537396,773576,763820,1521375,764803,756572,1513110,760642,752468,1505420,756894,748526,1503806,756184,747622,1508575,759282,749293,1512870,761270,751600,1529818,769807,760011,1536448,773278,763170,1538630,774273,764357,1542263,776498,765765,1544442,778007,766435,1549507,781434,768073,1550806,781146,769660,1550142,780635,769507,1543052,776456,766596,1541502,775386,766116,1542840,776505,766335,1538492,774332,764160
"충청북도",1597163,811286,785877,1596886,811289,785597,1595624,810741,784883,1488945,749274,739671,1488803,749832,738971,1494559,752742,741817,1506608,758967,747641,1519587,765398,754189,1527478,769968,757510,1549528,781301,768227,1562903,787981,774922,1565628,789286,776342,1572732,792862,779870,1578933,796141,782792,1583952,798896,785056,1591625,803240,788385,1594432,805091,789341,1599252,808971,790281,1600007,810384,789623,1600837,811591,789246,1597427,810672,786755
"충청남도",2121011,1085037,1035974,2121082,1085209,1035873,2120269,1084756,1035513,1953406,982648,970758,1962646,988191,974455,1974433,995826,978607,1995531,1007900,987631,2018537,1020317,998220,2037582,1029725,1007857,2075514,1049363,1026151,2101284,1063012,1038272,2028777,1026812,1001965,2047631,1037421,1010210,2062273,1045892,1016381,2077649,1054439,1023210,2096727,1064765,1031962,2116770,1076270,1040500,2126282,1082009,1044273,2123709,1081938,1041771,2121029,1082634,1038395,2119257,1083366,1035891
"전라북도",1776949,884164,892785,1775664,883436,892228,1772596,882044,890552,1906742,948697,958045,1885335,938746,946589,1868365,930450,937915,1862277,927367,934910,1855772,924770,931002,1854508,924480,930028,1868963,931481,937482,1874031,934002,940029,1873341,933386,939955,1872965,932894,940071,1871560,931536,940024,1869711,930255,939456,1864791,927505,937286,1854607,922307,932300,1836832,913297,923535,1818917,904110,914807,1804104,896874,907230,1786855,888994,897861
"전라남도",1825534,918956,906578,1824104,918260,905844,1820458,916611,903847,1986192,989227,996965,1967205,980392,986813,1942925,968861,974064,1929836,963411,966425,1919000,958491,960509,1913004,955954,957050,1918485,958624,959861,1914339,956747,957592,1909618,954354,955264,1907172,952597,954575,1905780,951975,953805,1908996,953881,955115,1903914,951889,952025,1896424,948290,948134,1882970,943000,939970,1868745,937674,931071,1851549,930615,920934,1832803,922221,910582
"경상북도",2612016,1317139,1294877,2609356,1315815,1293541,2605066,1313983,1291083,2695917,1352420,1343497,2688491,1349437,1339054,2688577,1349830,1338747,2681364,1346756,1334608,2673931,1343199,1330732,2669876,1340977,1328899,2689920,1351202,1338718,2699195,1355727,1343468,2698353,1355294,1343059,2699440,1355951,1343489,2700794,1356182,1344612,2702826,1357306,1345520,2700398,1356868,1343530,2691706,1353164,1338542,2676831,1346689,1330142,2665836,1342037,1323799,2639422,1329211,1310211,2626609,1323661,1302948
"경상남도",3293709,1658198,1635511,3290991,1656746,1634245,3286470,1654622,1631848,3143814,1576357,1567457,3160431,1585900,1574531,3172857,1592610,1580247,3196953,1605983,1590970,3225255,1622127,1603128,3250176,1635700,1614476,3290536,1656042,1634494,3308765,1664755,1644010,3319314,1670545,1648769,3333820,1678592,1655228,3350257,1687114,1663143,3364702,1694981,1669721,3373871,1699219,1674652,3380404,1701413,1678991,3373988,1697412,1676576,3362553,1692032,1670521,3340216,1681423,1658793,3314183,1668338,1645845
"제주특별자치도",678491,339951,338540,679016,340105,338911,678426,339801,338625,555362,276693,278669,557569,278281,279288,558496,278854,279642,559258,279246,280012,560618,280088,280530,562663,281319,281344,571255,285582,285673,576156,288152,288004,583713,292213,291500,593806,297504,296302,607346,304656,302690,624395,313428,310967,641597,322545,319052,657083,330823,326260,667191,335719,331472,670989,337345,333644,674635,338609,336026,676759,339177,337582
