"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1997- 05- 01","19.19","20.18","22.26","17.28","","-4.34%"
"1997- 04- 01","20.06","22.85","23.04","17.57","","-9.39%"
"1997- 03- 01","22.14","21.89","22.44","17.30","","4.93%"
"1997- 02- 01","21.10","19.89","21.55","18.71","","8.37%"
"1997- 01- 01","19.47","21.54","22.80","16.36","","-6.93%"
"1996- 12- 01","20.92","18.66","22.13","16.83","","22.05%"
"1996- 11- 01","17.14","17.29","18.61","13.45","","-5.36%"
"1996- 10- 01","18.11","16.90","19.21","14.63","","6.84%"
"1996- 09- 01","16.95","19.78","20.53","14.55","","-0.35%"
"1996- 08- 01","17.01","19.39","19.39","13.22","","-12.59%"
"1996- 07- 01","19.46","13.83","27.05","13.75","","42.25%"
"1996- 06- 01","13.68","16.80","18.88","13.55","","-14.87%"
"1996- 05- 01","16.07","15.89","18.96","14.56","","1.52%"
"1996- 04- 01","15.83","18.42","21.09","13.99","","-16.15%"
"1996- 03- 01","18.88","17.13","21.36","14.98","","10.80%"
"1996- 02- 01","17.04","11.44","17.39","11.11","","35.99%"
"1996- 01- 01","12.53","13.39","16.87","11.23","","0.08%"
"1995- 12- 01","12.52","11.12","15.42","10.06","","8.12%"
"1995- 11- 01","11.58","13.98","14.10","10.57","","-16.27%"
"1995- 10- 01","13.83","12.40","16.99","12.29","","8.56%"
"1995- 09- 01","12.74","11.15","13.95","10.19","","10.59%"
"1995- 08- 01","11.52","13.44","14.49","11.36","","-14.60%"
"1995- 07- 01","13.49","11.36","15.26","10.92","","18.54%"
"1995- 06- 01","11.38","12.16","14.05","10.36","","-11.44%"
"1995- 05- 01","12.85","11.21","13.60","10.08","","9.36%"
"1995- 04- 01","11.75","12.52","14.48","10.95","","-12.12%"
"1995- 03- 01","13.37","11.49","14.77","10.79","","13.79%"
"1995- 02- 01","11.75","11.74","13.01","10.51","","-1.76%"
"1995- 01- 01","11.96","14.09","14.71","10.76","","-9.39%"
"1994- 12- 01","13.20","15.49","18.16","11.36","","-17.24%"
"1994- 11- 01","15.95","14.61","19.57","14.32","","9.55%"
