발표일,실제
2001년 12월 01일 (11월),1.90%
2001년 11월 01일 (10월),2.10%
2001년 10월 01일 (9월),2.60%
2001년 09월 01일 (8월),2.70%
2001년 08월 01일 (7월),2.70%
2001년 07월 01일 (6월),3.20%
2001년 06월 01일 (5월),3.60%
2001년 05월 01일 (4월),3.30%
2001년 04월 01일 (3월),2.90%
2001년 03월 01일 (2월),3.50%
2001년 02월 01일 (1월),3.70%
2001년 01월 01일 (12월),3.40%
2000년 12월 01일 (11월),3.40%
2000년 11월 01일 (10월),3.40%
2000년 10월 01일 (9월),3.50%
2000년 09월 01일 (8월),3.40%
2000년 08월 01일 (7월),3.70%
2000년 07월 01일 (6월),3.70%
2000년 06월 01일 (5월),3.20%
2000년 05월 01일 (4월),3.10%
2000년 04월 01일 (3월),3.80%
2000년 03월 01일 (2월),3.20%
2000년 02월 01일 (1월),2.70%
2000년 01월 01일 (12월),2.70%
1999년 12월 01일 (11월),2.60%
1999년 11월 01일 (10월),2.60%
1999년 10월 01일 (9월),2.60%
1999년 09월 01일 (8월),2.30%
1999년 08월 01일 (7월),2.10%
1999년 07월 01일 (6월),2.00%
1999년 06월 01일 (5월),2.10%
1999년 05월 01일 (4월),2.30%
1999년 04월 01일 (3월),1.70%
1999년 03월 01일 (2월),1.60%
1999년 02월 01일 (1월),1.70%
1999년 01월 01일 (12월),1.60%
1998년 12월 01일 (11월),1.50%
1998년 11월 01일 (10월),1.50%
1998년 10월 01일 (9월),1.50%
1998년 09월 01일 (8월),1.60%
1998년 08월 01일 (7월),1.70%
1998년 07월 01일 (6월),1.70%
1998년 06월 01일 (5월),1.70%
1998년 05월 01일 (4월),1.40%
1998년 04월 01일 (3월),1.40%
1998년 03월 01일 (2월),1.40%
1998년 02월 01일 (1월),1.60%
1998년 01월 01일 (12월),1.70%
1997년 12월 01일 (11월),1.80%
1997년 11월 01일 (10월),2.10%
1997년 10월 01일 (9월),2.20%
1997년 09월 01일 (8월),2.20%
1997년 08월 01일 (7월),2.20%
1997년 07월 01일 (6월),2.30%
1997년 06월 01일 (5월),2.20%
1997년 05월 01일 (4월),2.50%
1997년 04월 01일 (3월),2.80%
1997년 03월 01일 (2월),3.00%
1997년 02월 01일 (1월),3.00%
1997년 01월 01일 (12월),3.30%
1996년 12월 01일 (11월),3.30%
1996년 11월 01일 (10월),3.00%
1996년 10월 01일 (9월),3.00%
1996년 09월 01일 (8월),2.90%
1996년 08월 01일 (7월),3.00%
1996년 07월 01일 (6월),2.80%
1996년 06월 01일 (5월),2.90%
1996년 05월 01일 (4월),2.90%
1996년 04월 01일 (3월),2.80%
1996년 03월 01일 (2월),2.70%
1996년 02월 01일 (1월),2.70%
1996년 01월 01일 (12월),2.50%
1995년 12월 01일 (11월),2.60%
1995년 11월 01일 (10월),2.80%
1995년 10월 01일 (9월),2.50%
1995년 09월 01일 (8월),2.60%
