"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2013- 03- 01","1,034.90","1,053.89","1,066.81","1,014.75","","-1.87%"
"2013- 02- 01","1,054.62","1,069.17","1,078.17","1,039.80","","-1.35%"
"2013- 01- 01","1,069.01","1,057.30","1,083.43","1,055.76","","1.31%"
"2012- 12- 01","1,055.20","1,005.83","1,056.99","1,001.99","","4.78%"
"2012- 11- 01","1,007.02","994.55","1,014.06","967.82","","1.17%"
"2012- 10- 01","995.33","1,001.45","1,016.41","987.36","","-0.73%"
"2012- 09- 01","1,002.66","947.79","1,018.15","936.36","","5.84%"
"2012- 08- 01","947.33","950.26","981.10","938.05","","-0.54%"
"2012- 07- 01","952.49","941.15","959.81","901.38","","1.62%"
"2012- 06- 01","937.35","906.42","949.40","877.44","","3.43%"
"2012- 05- 01","906.30","1,025.33","1,034.06","893.66","","-11.67%"
"2012- 04- 01","1,026.02","1,042.72","1,057.84","1,005.16","","-1.48%"
"2012- 03- 01","1,041.45","1,078.53","1,081.48","1,027.93","","-3.52%"
"2012- 02- 01","1,079.44","1,018.01","1,085.17","1,014.52","","5.89%"
"2012- 01- 01","1,019.39","916.49","1,022.46","912.71","","11.24%"
"2011- 12- 01","916.39","933.34","968.02","886.70","","-1.29%"
"2011- 11- 01","928.32","989.59","1,001.01","873.94","","-6.70%"
"2011- 10- 01","995.00","875.82","1,014.94","824.39","","13.01%"
"2011- 09- 01","880.43","1,034.27","1,045.63","838.87","","-14.78%"
"2011- 08- 01","1,033.15","1,141.10","1,154.54","946.42","","-9.19%"
"2011- 07- 01","1,137.73","1,148.19","1,173.71","1,117.51","","-0.74%"
"2011- 06- 01","1,146.22","1,169.78","1,172.51","1,095.24","","-1.86%"
"2011- 05- 01","1,167.97","1,204.63","1,208.68","1,111.22","","-2.99%"
"2011- 04- 01","1,204.03","1,170.41","1,211.98","1,155.17","","2.83%"
"2011- 03- 01","1,170.87","1,108.38","1,171.16","1,082.43","","5.70%"
"2011- 02- 01","1,107.77","1,121.07","1,139.92","1,077.64","","-1.01%"
"2011- 01- 01","1,119.08","1,153.55","1,169.46","1,114.81","","-2.81%"
"2010- 12- 01","1,151.38","1,077.19","1,153.55","1,076.63","","7.02%"
"2010- 11- 01","1,075.85","1,106.02","1,159.98","1,072.88","","-2.70%"
"2010- 10- 01","1,105.75","1,076.58","1,131.09","1,076.39","","2.81%"
"2010- 09- 01","1,075.53","970.08","1,077.13","970.08","","10.87%"
"2010- 08- 01","970.05","993.27","1,018.02","959.55","","-2.15%"
"2010- 07- 01","991.41","916.62","997.29","905.15","","8.00%"
"2010- 06- 01","917.99","925.43","981.68","887.01","","-0.91%"
"2010- 05- 01","926.40","1,018.38","1,018.81","850.20","","-9.18%"
"2010- 04- 01","1,020.03","1,011.65","1,051.49","1,000.74","","0.96%"
"2010- 03- 01","1,010.33","937.45","1,012.13","936.67","","7.95%"
"2010- 02- 01","935.93","932.68","957.92","890.04","","0.25%"
"2010- 01- 01","933.59","989.47","1,031.61","925.77","","-5.65%"
"2009- 12- 01","989.47","952.15","991.66","945.01","","3.81%"
"2009- 11- 01","953.13","907.71","988.27","894.31","","4.25%"
"2009- 10- 01","914.26","917.32","983.70","894.22","","0.02%"
"2009- 09- 01","914.05","838.90","926.31","827.97","","8.89%"
"2009- 08- 01","839.46","847.53","870.47","812.90","","-0.54%"
"2009- 07- 01","844.02","761.34","847.35","717.56","","10.87%"
"2009- 06- 01","761.30","773.47","805.20","718.56","","-1.53%"
"2009- 05- 01","773.12","662.39","776.21","662.22","","16.66%"
"2009- 04- 01","662.73","570.60","667.43","568.66","","16.27%"
"2009- 03- 01","569.97","497.33","603.71","471.40","","14.15%"
"2009- 02- 01","499.30","528.80","567.36","496.11","","-5.71%"
"2009- 01- 01","529.53","566.11","615.68","501.88","","-6.62%"
"2008- 12- 01","567.04","525.82","591.70","493.98","","7.60%"
"2008- 11- 01","526.97","569.51","618.23","456.54","","-7.63%"
"2008- 10- 01","570.52","787.33","793.08","445.94","","-27.50%"
"2008- 09- 01","786.92","955.79","955.79","745.71","","-17.71%"
"2008- 08- 01","956.25","1,041.01","1,041.01","935.43","","-8.22%"
"2008- 07- 01","1,041.86","1,085.56","1,086.77","1,006.65","","-4.16%"
"2008- 06- 01","1,087.12","1,211.24","1,217.30","1,080.29","","-10.16%"
"2008- 05- 01","1,210.04","1,194.67","1,252.59","1,185.70","","1.55%"
"2008- 04- 01","1,191.53","1,103.86","1,201.57","1,097.69","","7.87%"
"2008- 03- 01","1,104.58","1,165.11","1,165.11","1,039.21","","-5.40%"
"2008- 02- 01","1,167.66","1,090.05","1,195.97","1,074.08","","7.25%"
"2008- 01- 01","1,088.72","1,245.58","1,246.36","1,011.42","","-12.59%"
"2007- 12- 01","1,245.59","1,239.77","1,289.22","1,175.41","","0.28%"
"2007- 11- 01","1,242.06","1,341.86","1,345.18","1,179.31","","-7.14%"
"2007- 10- 01","1,337.63","1,206.88","1,342.10","1,206.30","","11.02%"
"2007- 09- 01","1,204.90","1,087.66","1,210.24","1,073.38","","10.85%"
"2007- 08- 01","1,086.98","1,109.65","1,109.65","934.57","","-2.32%"
"2007- 07- 01","1,112.77","1,060.10","1,169.18","1,059.57","","5.01%"
"2007- 06- 01","1,059.69","1,017.75","1,070.03","1,002.88","","4.43%"
"2007- 05- 01","1,014.78","970.50","1,021.40","969.13","","4.62%"
"2007- 04- 01","969.93","929.95","990.58","926.59","","4.40%"
"2007- 03- 01","929.03","893.61","931.49","841.96","","3.74%"
"2007- 02- 01","895.54","903.31","945.04","891.54","","-0.66%"
"2007- 01- 01","901.48","914.03","927.12","862.68","","-1.22%"
"2006- 12- 01","912.65","875.51","913.94","871.09","","4.41%"
"2006- 11- 01","874.09","815.99","875.04","815.51","","7.33%"
"2006- 10- 01","814.43","778.53","819.02","767.08","","4.66%"
"2006- 09- 01","778.17","773.16","791.49","753.44","","0.65%"
"2006- 08- 01","773.13","755.35","784.57","748.02","","2.29%"
"2006- 07- 01","755.84","748.18","763.06","707.56","","1.11%"
"2006- 06- 01","747.54","749.54","770.43","663.54","","-0.46%"
"2006- 05- 01","751.00","842.75","883.53","741.50","","-10.76%"
"2006- 04- 01","841.59","788.33","847.30","788.33","","6.76%"
"2006- 03- 01","788.28","781.89","793.45","745.79","","0.79%"
"2006- 02- 01","782.11","784.00","791.42","758.03","","-0.21%"
"2006- 01- 01","783.77","705.42","785.36","704.40","","10.94%"
"2005- 12- 01","706.48","667.45","709.57","666.70","","5.76%"
"2005- 11- 01","667.99","617.78","671.23","617.78","","8.19%"
"2005- 10- 01","617.41","660.42","666.95","601.27","","-6.64%"
"2005- 09- 01","661.32","608.91","661.32","608.91","","9.09%"
"2005- 08- 01","606.23","603.95","625.42","597.82","","0.61%"
"2005- 07- 01","602.56","565.68","603.72","560.80","","6.62%"
"2005- 06- 01","565.17","547.02","573.07","543.64","","3.10%"
"2005- 05- 01","548.15","533.04","553.88","532.43","","3.04%"
"2005- 04- 01","531.99","547.83","557.21","524.91","","-2.86%"
"2005- 03- 01","547.68","588.16","590.28","536.50","","-6.96%"
"2005- 02- 01","588.68","542.31","589.85","540.08","","8.56%"
"2005- 01- 01","542.28","541.85","544.06","517.39","","0.02%"
"2004- 12- 01","542.17","517.57","542.55","500.98","","4.68%"
"2004- 11- 01","517.95","475.00","518.29","474.01","","9.21%"
"2004- 10- 01","474.27","464.86","482.63","462.42","","2.18%"
"2004- 09- 01","464.15","440.27","467.71","440.04","","5.55%"
"2004- 08- 01","439.75","422.68","440.48","418.23","","3.93%"
"2004- 07- 01","423.14","433.37","434.08","416.39","","-2.10%"
"2004- 06- 01","432.20","431.55","436.56","409.63","","0.22%"
"2004- 05- 01","431.26","441.23","447.87","394.58","","-2.28%"
"2004- 04- 01","441.30","482.91","498.68","441.01","","-7.38%"
"2004- 03- 01","476.44","478.51","489.77","461.36","","-0.27%"
"2004- 02- 01","477.73","456.97","485.62","453.04","","4.49%"
