DateTime,Value
2018-10-11,17962
2018-10-12,17967
2018-10-13,17962
2018-10-14,17955
2018-10-15,17961
2018-10-16,17966
2018-10-17,17973
2018-10-18,17957
2018-10-19,17970
2018-10-20,17944
2018-10-21,17946
2018-10-22,17938
2018-10-23,17940
2018-10-24,17929
2018-10-25,17917
2018-10-26,17890
2018-10-27,17889
2018-10-28,17897
2018-10-29,17937
2018-10-30,17969
2018-10-31,17953
2018-11-01,17944
2018-11-02,17984
2018-11-03,17974
2018-11-04,17979
2018-11-05,17982
2018-11-06,17991
2018-11-07,18020
2018-11-08,18034
2018-11-09,17999
2018-11-10,18003
2018-11-11,18011
2018-11-12,18024
2018-11-13,18058
2018-11-14,18081
2018-11-15,18098
2018-11-16,18139
2018-11-17,18153
2018-11-18,18148
2018-11-19,18141
2018-11-20,18150
2018-11-21,18147
2018-11-22,18142
2018-11-23,18155
2018-11-24,18169
2018-11-25,18180
2018-11-26,18181
2018-11-27,18190
2018-11-28,18199
2018-11-29,18198
2018-11-30,18194
2018-12-01,18186
2018-12-02,18175
2018-12-03,18172
2018-12-04,18209
2018-12-05,18194
2018-12-06,18183
2018-12-07,18187
2018-12-08,18190
2018-12-09,18185
2018-12-10,18177
2018-12-11,18205
2018-12-12,18197
2018-12-13,18209
2018-12-14,18214
2018-12-15,18216
2018-12-16,18212
2018-12-17,18212
2018-12-18,18176
2018-12-19,18193
2018-12-20,18215
2018-12-21,18209
2018-12-22,18205
2018-12-23,18206
2018-12-24,18252
2018-12-25,18245
2018-12-26,18244
2018-12-27,18232
2018-12-28,18238
2018-12-29,18236
2018-12-30,18238
2018-12-31,18227
2019-01-01,18227
2019-01-02,18235
2019-01-03,18239
2019-01-04,18248
2019-01-05,18246
2019-01-06,18243
2019-01-07,18269
2019-01-08,18255
2019-01-09,18244
2019-01-10,18263
2019-01-11,18274
2019-01-12,18325
2019-01-13,18339
2019-01-14,18350
2019-01-15,18384
2019-01-16,18389
2019-01-17,18408
2019-01-18,18312
2019-01-19,18370
2019-01-20,18385
2019-01-21,18375
2019-01-22,18391
2019-01-23,18402
2019-01-24,18384
2019-01-25,18414
2019-01-26,18404
2019-01-27,18440
2019-01-28,18485
2019-01-29,18500
2019-01-30,18503
2019-01-31,18516
2019-02-01,18546
2019-02-02,18534
2019-02-03,18537
2019-02-04,18539
2019-02-05,18539
2019-02-06,18526
