"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2006- 02- 01","10,993.41","10,862.14","11,159.18","10,737.67","5.76B","1.18%"
"2006- 01- 01","10,864.86","10,718.30","11,047.76","10,661.15","6.43B","1.37%"
"2005- 12- 01","10,717.50","10,806.03","10,940.34","10,709.42","5.22B","-0.82%"
"2005- 11- 01","10,805.87","10,437.51","10,959.79","10,388.76","5.39B","3.50%"
"2005- 10- 01","10,440.07","10,569.50","10,608.56","10,156.46","5.83B","-1.22%"
"2005- 09- 01","10,568.70","10,481.44","10,701.81","10,350.96","5.22B","0.83%"
"2005- 08- 01","10,481.60","10,641.78","10,719.41","10,349.37","5.08B","-1.50%"
"2005- 07- 01","10,640.91","10,273.59","10,717.73","10,175.40","4.82B","3.56%"
"2005- 06- 01","10,274.97","10,462.86","10,656.29","10,253.49","5.03B","-1.84%"
"2005- 05- 01","10,467.48","10,192.00","10,560.81","10,075.55","4.84B","2.70%"
"2005- 04- 01","10,192.51","10,504.57","10,568.93","10,000.46","5.85B","-2.96%"
"2005- 03- 01","10,503.76","10,769.04","10,984.46","10,396.24","5.82B","-2.44%"
"2005- 02- 01","10,766.23","10,489.72","10,853.43","10,489.64","5.04B","2.63%"
"2005- 01- 01","10,489.94","10,783.75","10,867.39","10,368.61","5.30B","-2.72%"
"2004- 12- 01","10,783.01","10,425.80","10,868.07","10,418.63","5.74B","3.40%"
"2004- 11- 01","10,428.02","10,028.73","10,602.85","10,010.15","5.61B","3.99%"
"2004- 10- 01","10,027.47","10,082.04","10,270.37","9,708.40","5.29B","-0.52%"
"2004- 09- 01","10,080.27","10,170.12","10,363.36","9,977.92","4.63B","-0.92%"
"2004- 08- 01","10,173.92","10,138.45","10,211.25","9,783.91","3.72B","0.34%"
"2004- 07- 01","10,139.71","10,434.00","10,448.09","9,913.92","4.45B","-2.83%"
"2004- 06- 01","10,435.48","10,187.18","10,487.54","10,134.86","4.11B","2.42%"
"2004- 05- 01","10,188.45","10,227.27","10,386.32","9,852.19","4.02B","-0.36%"
"2004- 04- 01","10,225.57","10,357.52","10,570.81","10,219.18","4.53B","-1.28%"
"2004- 03- 01","10,357.70","10,582.25","10,695.55","10,007.49","4.97B","-2.14%"
"2004- 02- 01","10,583.92","10,487.78","10,753.63","10,434.67","3.82B","0.91%"
"2004- 01- 01","10,488.07","10,452.74","10,705.18","10,367.41","4.38B","0.33%"
