DATE,MV
2006-01-01,14510242.0
2006-04-01,13908849.0
2006-07-01,14257382.0
2006-10-01,15089636.0
2007-01-01,15691548.0
2007-04-01,16562543.0
2007-07-01,16923511.0
2007-10-01,16333228.0
2008-01-01,15030366.0
2008-04-01,14870208.0
2008-07-01,13238762.0
2008-10-01,10621521.0
2009-01-01,9603014.0
2009-04-01,10887220.0
2009-07-01,12388260.0
2009-10-01,13049303.0
2010-01-01,13583850.0
2010-04-01,12147825.0
2010-07-01,13458340.0
2010-10-01,14830039.0
2011-01-01,15791418.0
2011-04-01,15672829.0
2011-07-01,13473596.0
2011-10-01,14777979.0
2012-01-01,16452936.0
2012-04-01,15963823.0
2012-07-01,16772602.0
2012-10-01,16522480.0
2013-01-01,18558962.0
2013-04-01,18864337.0
2013-07-01,19960482.0
2013-10-01,21515318.0
2014-01-01,22189683.0
2014-04-01,23243541.0
2014-07-01,23091169.0
2014-10-01,23969972.0
2015-01-01,24229479.0
2015-04-01,24032835.0
2015-07-01,22113478.0
2015-10-01,23113601.0
2016-01-01,23506672.0
2016-04-01,23887214.0
2016-07-01,24468122.0
2016-10-01,24652951.0
2017-01-01,26048826.0
2017-04-01,26456799.0
2017-07-01,27229304.0
2017-10-01,28747455.0
2018-01-01,28535012.0
2018-04-01,29525556.0
2018-07-01,31242306.0
2018-10-01,26543606.0
2019-01-01,30448507.0
2019-04-01,31228480.0
2019-07-01,31323741.0
2019-10-01,33680489.0
2020-01-01,27002731.0
2020-04-01,33391061.0
2020-07-01,36930148.0
2020-10-01,42497994.0
2021-01-01,44980246.0
2021-04-01,48275926.0
2021-07-01,48154508.0
2021-10-01,51407716.0
2022-01-01,48028823.0
2022-04-01,39312480.0
