"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2011- 06- 01","2,325.07","2,368.29","2,373.82","2,180.94","5.19B","-2.00%"
"2011- 05- 01","2,372.54","2,410.24","2,417.83","2,298.72","4.91B","-1.31%"
"2011- 04- 01","2,404.08","2,352.47","2,415.85","2,254.88","4.52B","2.78%"
"2011- 03- 01","2,338.99","2,359.78","2,375.67","2,188.92","5.02B","-0.51%"
"2011- 02- 01","2,350.99","2,298.37","2,403.52","2,284.65","4.23B","3.03%"
"2011- 01- 01","2,281.91","2,238.66","2,336.04","2,237.73","4.20B","2.89%"
"2010- 12- 01","2,217.86","2,150.64","2,238.92","2,150.64","3.57B","4.75%"
"2010- 11- 01","2,117.33","2,135.57","2,200.16","2,085.27","4.54B","-0.34%"
"2010- 10- 01","2,124.45","2,014.47","2,137.33","1,963.68","4.84B","6.33%"
"2010- 09- 01","1,998.04","1,791.91","2,029.65","1,791.41","5.17B","13.05%"
"2010- 08- 01","1,767.43","1,886.61","1,918.78","1,747.32","5.39B","-5.18%"
"2010- 07- 01","1,864.00","1,741.93","1,900.15","1,700.04","5.64B","7.18%"
"2010- 06- 01","1,739.14","1,846.60","1,939.77","1,734.90","5.97B","-6.11%"
"2010- 05- 01","1,852.39","2,010.94","2,039.52","1,752.31","6.71B","-7.41%"
"2010- 04- 01","2,000.63","1,968.44","2,059.42","1,943.97","5.34B","2.16%"
"2010- 03- 01","1,958.34","1,826.62","1,976.38","1,826.61","5.42B","7.68%"
"2010- 02- 01","1,818.68","1,745.91","1,830.38","1,712.89","5.08B","4.46%"
"2010- 01- 01","1,741.04","1,882.69","1,897.49","1,734.03","5.36B","-6.41%"
"2009- 12- 01","1,860.31","1,782.85","1,882.58","1,759.34","4.51B","5.26%"
"2009- 11- 01","1,767.43","1,667.06","1,814.25","1,652.44","4.81B","6.02%"
"2009- 10- 01","1,667.13","1,710.50","1,780.83","1,656.57","6.26B","-3.02%"
"2009- 09- 01","1,718.99","1,620.09","1,754.54","1,585.56","5.33B","5.77%"
"2009- 08- 01","1,625.19","1,619.24","1,668.01","1,563.14","5.03B","1.36%"
"2009- 07- 01","1,603.36","1,486.50","1,632.97","1,394.87","6.38B","8.54%"
"2009- 06- 01","1,477.25","1,451.37","1,511.94","1,413.54","6.30B","2.90%"
"2009- 05- 01","1,435.57","1,396.22","1,435.80","1,339.82","6.11B","2.96%"
"2009- 04- 01","1,394.33","1,215.90","1,418.77","1,211.60","7.43B","12.72%"
