날짜,시간,실제,이전
2005- 01- 01,18:00,201.2,199.7
2005- 12- 01,18:00,199.7,198.1
2004- 11- 01,18:00,198.1,196.2
2004- 10- 01,18:00,196.2,194.8
2004- 09- 01,18:00,194.8,193.3
2004- 08- 01,18:00,193.3,191.9
2004- 07- 01,18:00,191.9,190.3
2004- 06- 01,18:00,190.3,188.4
2004- 05- 01,18:00,188.4,186.6
2004- 04- 01,18:00,186.6,185.0
2004- 03- 01,18:00,185.0,183.8
2004- 02- 01,18:00,183.8,182.4
2004- 01- 01,18:00,182.4,181.1
2004- 12- 01,18:00,181.1,179.6
2003- 11- 01,18:00,179.6,178.3
2003- 10- 01,18:00,178.3,177.2
2003- 09- 01,18:00,177.2,175.8
2003- 08- 01,18:00,175.8,174.5
2003- 07- 01,18:00,174.5,173.2
2003- 06- 01,18:00,173.2,172.4
2003- 05- 01,18:00,172.4,171.4
2003- 04- 01,18:00,171.4,170.4
2003- 03- 01,18:00,170.4,169.8
2003- 02- 01,18:00,169.8,168.8
2003- 01- 01,18:00,168.8,167.7
2003- 12- 01,18:00,167.7,166.6
2002- 11- 01,18:00,166.6,165.6
2002- 10- 01,18:00,165.6,164.5
2002- 09- 01,18:00,164.5,163.4
2002- 08- 01,18:00,163.4,162.3
2002- 07- 01,18:00,162.3,161.3
2002- 06- 01,18:00,161.3,160.3
2002- 05- 01,18:00,160.3,159.3
2002- 04- 01,18:00,159.3,158.4
2002- 03- 01,18:00,158.4,157.4
2002- 02- 01,18:00,157.4,156.5
2002- 01- 01,18:00,156.5,155.6
2002- 12- 01,18:00,155.6,154.6
2001- 11- 01,18:00,154.6,154.1
2001- 10- 01,18:00,154.1,153.2
2001- 09- 01,18:00,153.2,152.4
2001- 08- 01,18:00,152.4,151.6
2001- 07- 01,18:00,151.6,150.7
2001- 06- 01,18:00,150.7,150.0
2001- 05- 01,18:00,150.0,149.4
2001- 04- 01,18:00,149.4,148.5
2001- 03- 01,18:00,148.5,147.7
2001- 02- 01,18:00,147.7,146.7
2001- 01- 01,18:00,146.7,145.8
2001- 12- 01,18:00,145.8,145.0
2000- 11- 01,18:00,145.0,144.0
2000- 10- 01,18:00,144.0,143.2
2000- 09- 01,18:00,143.2,142.4
2000- 08- 01,18:00,142.4,141.8
2000- 07- 01,18:00,141.8,141.0
2000- 06- 01,18:00,141.0,140.1
2000- 05- 01,18:00,140.1,139.5
2000- 04- 01,18:00,139.5,138.5
2000- 03- 01,18:00,138.5,137.5
2000- 02- 01,18:00,137.5,137.6
2000- 01- 01,18:00,137.6,136.0
2000- 12- 01,18:00,136.0,135.4
1999- 11- 01,18:00,135.4,134.9
1999- 10- 01,18:00,134.9,134.0
1999- 09- 01,18:00,134.0,133.6
1999- 08- 01,18:00,133.6,132.8
1999- 07- 01,18:00,132.8,132.0
1999- 06- 01,18:00,132.0,131.4
1999- 05- 01,18:00,131.4,130.7
1999- 04- 01,18:00,130.7,130.0
1999- 03- 01,18:00,130.0,129.5
1999- 02- 01,18:00,129.5,128.9
1999- 01- 01,18:00,128.9,128.1
1999- 12- 01,18:00,128.1,127.6
1998- 11- 01,18:00,127.6,126.8
1998- 10- 01,18:00,126.8,126.2
1998- 09- 01,18:00,126.2,125.4
1998- 08- 01,18:00,125.4,124.9
1998- 07- 01,18:00,124.9,124.6
1998- 06- 01,18:00,124.6,123.8
1998- 05- 01,18:00,123.8,123.3
1998- 04- 01,18:00,123.3,122.7
1998- 03- 01,18:00,122.7,122.3
1998- 02- 01,18:00,122.3,121.4
1998- 01- 01,18:00,121.4,121.0
1998- 12- 01,18:00,121.0,120.6
1997- 11- 01,18:00,120.6,120.2
1997- 10- 01,18:00,120.2,119.6
1997- 09- 01,18:00,119.6,119.4
1997- 08- 01,18:00,119.4,119.0
1997- 07- 01,18:00,119.0,118.7
1997- 06- 01,18:00,118.7,118.6
1997- 05- 01,18:00,118.6,118.2
1997- 04- 01,18:00,118.2,118.0
1997- 03- 01,18:00,118.0,117.4
1997- 02- 01,18:00,117.4,117.1
1997- 01- 01,18:00,117.1,117.0
1997- 12- 01,18:00,117.0,116.7
1996- 12- 01,18:00,116.7,116.3
1996- 10- 01,18:00,116.3,116.3
1996- 09- 01,18:00,116.3,115.9
1996- 08- 01,18:00,115.9,115.9
1996- 7- 01,18:00,115.9,115.5
1996- 06- 01,18:00,115.5,115.4
1996- 05- 01,18:00,115.4,115.1
1996- 04- 01,18:00,115.1,114.8
1996- 03- 01,18:00,114.8,114.4
1996- 02- 01,18:00,114.4,114.2
1996- 01- 01,18:00,114.2,113.8
1996- 12- 01,18:00,113.8,113.3
1995- 11- 01,18:00,113.3,113.2
1995- 10- 01,18:00,113.2,113.0
1995- 09- 01,18:00,113.0,112.8
1995- 08- 01,18:00,112.8,112.5
1995- 07- 01,18:00,112.5,112.0
1995- 06- 01,18:00,112.0,111.6
1995- 05- 01,18:00,111.6,111.5
1995- 04- 01,18:00,111.5,111.3
1995- 03- 01,18:00,111.3,111.4
1995- 02- 01,18:00,111.4,110.9
1995- 01- 01,18:00,110.9,110.5
1995- 12- 01,18:00,110.5,110.5
1994- 11- 01,18:00,110.5,110.2
1994- 10- 01,18:00,110.2,110.0
1994- 09- 01,18:00,110.0,109.9
1994- 08- 01,18:00,109.9,109.6
1994- 07- 01,18:00,109.6,109.5
1994- 06- 01,18:00,109.5,109.2
1994- 05- 01,18:00,109.2,108.9
1994- 04- 01,18:00,108.9,108.6
1994- 03- 01,18:00,108.6,108.2
1994- 02- 01,18:00,108.2,108.0
1994- 01- 01,18:00,108.0,107.7
1994- 12- 01,18:00,107.7,107.2
1993- 11- 01,18:00,107.2,106.9
1993- 10- 01,18:00,106.9,106.6
1993- 09- 01,18:00,106.6,106.2
1993- 08- 01,18:00,106.2,105.8
1993- 07- 01,18:00,105.8,105.8
1993- 06- 01,18:00,105.8,105.4
1993- 05- 01,18:00,105.4,105.2
1993- 04- 01,18:00,105.2,104.5
1993- 03- 01,18:00,104.5,104.2
1993- 02- 01,18:00,104.2,104.4
1993- 01- 01,18:00,104.4,104.4
1993- 12- 01,18:00,104.4,104.5
1992- 11- 01,18:00,104.5,104.2
1992- 10- 01,18:00,104.2,103.8
1992- 09- 01,18:00,103.8,103.4
1992- 08- 01,18:00,103.4,103.0
1992- 07- 01,18:00,103.0,102.7
1992- 06- 01,18:00,102.7,102.7
1992- 05- 01,18:00,102.7,102.6
1992- 04- 01,18:00,102.6,102.9
1992- 03- 01,18:00,102.9,103.0
1992- 02- 01,18:00,103.0,102.3
1992- 01- 01,18:00,102.3,101.9
1992- 12- 01,18:00,101.9,101.6
1991- 11- 01,18:00,101.6,101.0
1991- 10- 01,18:00,101.0,100.7
1991- 09- 01,18:00,100.7,100.4
1991- 08- 01,18:00,100.4,100.6
1991- 07- 01,18:00,100.6,100.6
1991- 06- 01,18:00,100.6,100.5
1991- 05- 01,18:00,100.5,100.4
1991- 04- 01,18:00,100.4,100.5
1991- 03- 01,18:00,100.5,100.5
1991- 03- 01,18:00,100.5,100.0
